zip,zip3,page_exists,coverage_state,indexable_now,authoritative_dev,displayed_dev_pairs,displayed_dev_rows,confirmed,display_over_inclusive,display_under_inclusive,facilities,indexable_after_switch,readiness_class,blocker
01063,010,yes,pass,yes,5,48,221,5,43,0,25,yes,A,SITE_WIDE_DELIVERY_ONLY
01066,010,yes,pass,yes,9,14,35,9,5,0,28,yes,A,SITE_WIDE_DELIVERY_ONLY
01068,010,yes,pass,yes,1,3,3,1,2,0,3,yes,A,SITE_WIDE_DELIVERY_ONLY
01069,010,yes,pass,yes,35,34,90,31,3,4,36,yes,A,SITE_WIDE_DELIVERY_ONLY
01070,010,yes,pass,yes,1,5,9,1,4,0,5,yes,A,SITE_WIDE_DELIVERY_ONLY
01071,010,yes,pass,yes,14,18,62,14,4,0,8,yes,A,SITE_WIDE_DELIVERY_ONLY
01073,010,yes,pass,yes,8,15,43,8,7,0,7,yes,A,SITE_WIDE_DELIVERY_ONLY
01074,010,yes,pass,yes,1,7,10,1,6,0,22,yes,A,SITE_WIDE_DELIVERY_ONLY
01075,010,yes,pass,yes,8,40,302,7,33,1,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01077,010,yes,pass,yes,12,9,20,9,0,3,14,yes,A,SITE_WIDE_DELIVERY_ONLY
01079,010,yes,pass,yes,3,32,90,3,29,0,33,yes,A,SITE_WIDE_DELIVERY_ONLY
01080,010,yes,pass,yes,1,35,82,1,34,0,28,yes,A,SITE_WIDE_DELIVERY_ONLY
01081,010,yes,pass,yes,11,5,7,3,2,8,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01082,010,yes,pass,yes,7,11,72,7,4,0,12,yes,A,SITE_WIDE_DELIVERY_ONLY
01083,010,yes,pass,yes,13,20,44,13,7,0,13,yes,A,SITE_WIDE_DELIVERY_ONLY
01084,010,yes,pass,yes,1,7,11,1,6,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01085,010,yes,pass,yes,30,29,62,29,0,1,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01086,010,yes,pass,yes,0,18,74,0,18,0,9,yes,C,ZERO_DEV_FACILITIES_ONLY
01088,010,yes,pass,yes,13,26,68,13,13,0,26,yes,A,SITE_WIDE_DELIVERY_ONLY
01089,010,yes,pass,yes,34,73,287,33,40,1,22,yes,A,SITE_WIDE_DELIVERY_ONLY
01090,010,yes,pass,yes,0,84,512,0,84,0,15,yes,C,ZERO_DEV_FACILITIES_ONLY
01092,010,yes,pass,yes,10,22,70,10,12,0,11,yes,A,SITE_WIDE_DELIVERY_ONLY
01093,010,no,NO_PAGE,no,2,0,0,0,0,2,0,no,E,NO_PRODUCTION_PAGE
01094,010,yes,pass,yes,0,3,4,0,3,0,12,yes,C,ZERO_DEV_FACILITIES_ONLY
01095,010,yes,pass,yes,11,18,39,10,8,1,25,yes,A,SITE_WIDE_DELIVERY_ONLY
01096,010,yes,pass,yes,12,15,31,11,4,1,6,yes,A,SITE_WIDE_DELIVERY_ONLY
01097,010,yes,pass,yes,5,18,75,5,13,0,9,yes,A,SITE_WIDE_DELIVERY_ONLY
01098,010,yes,pass,yes,3,3,13,3,0,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01101,011,yes,pass,yes,0,73,367,0,73,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01102,011,yes,pass,yes,0,84,512,0,84,0,15,yes,C,ZERO_DEV_FACILITIES_ONLY
01103,011,yes,pass,yes,11,74,389,11,63,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01104,011,yes,pass,yes,26,84,418,26,58,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01105,011,yes,pass,yes,11,73,339,11,62,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01106,011,yes,pass,yes,33,28,71,11,17,22,27,yes,A,SITE_WIDE_DELIVERY_ONLY
01107,011,yes,pass,yes,13,88,418,13,75,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01108,011,yes,pass,yes,9,55,235,9,46,0,18,yes,A,SITE_WIDE_DELIVERY_ONLY
01109,011,yes,pass,yes,14,74,333,14,60,0,36,yes,A,SITE_WIDE_DELIVERY_ONLY
01111,011,yes,pass,yes,0,84,512,0,84,0,35,yes,C,ZERO_DEV_FACILITIES_ONLY
01115,011,yes,pass,yes,0,72,380,0,72,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01116,011,yes,pass,yes,0,84,512,0,84,0,15,yes,C,ZERO_DEV_FACILITIES_ONLY
01118,011,yes,pass,yes,4,40,158,4,36,0,24,yes,A,SITE_WIDE_DELIVERY_ONLY
01119,011,yes,pass,yes,6,40,178,6,34,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01128,011,yes,pass,yes,1,12,33,1,11,0,11,yes,A,SITE_WIDE_DELIVERY_ONLY
01129,011,yes,pass,yes,5,27,63,5,22,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01138,011,yes,pass,yes,0,84,512,0,84,0,18,yes,C,ZERO_DEV_FACILITIES_ONLY
01139,011,yes,pass,yes,0,84,512,0,84,0,15,yes,C,ZERO_DEV_FACILITIES_ONLY
01144,011,yes,pass,yes,0,72,372,0,72,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01151,011,yes,pass,yes,3,30,111,3,27,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01152,011,yes,pass,yes,0,84,512,0,84,0,35,yes,C,ZERO_DEV_FACILITIES_ONLY
01199,011,yes,pass,yes,0,88,434,0,88,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01201,012,yes,pass,yes,37,36,110,32,4,5,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01202,012,yes,pass,yes,0,16,32,0,16,0,24,yes,C,ZERO_DEV_FACILITIES_ONLY
01203,012,yes,pass,yes,0,16,32,0,16,0,24,yes,C,ZERO_DEV_FACILITIES_ONLY
01220,012,yes,pass,yes,9,15,82,9,6,0,18,yes,A,SITE_WIDE_DELIVERY_ONLY
01222,012,yes,pass,yes,7,6,10,4,2,3,6,yes,A,SITE_WIDE_DELIVERY_ONLY
01223,012,yes,pass,yes,18,6,8,5,1,13,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01224,012,yes,pass,yes,4,17,46,4,13,0,19,yes,A,SITE_WIDE_DELIVERY_ONLY
01225,012,yes,pass,yes,9,9,12,9,0,0,8,yes,A,SITE_WIDE_DELIVERY_ONLY
01226,012,yes,pass,yes,7,20,69,6,14,1,33,yes,A,SITE_WIDE_DELIVERY_ONLY
01227,012,yes,pass,yes,0,20,68,0,20,0,33,yes,C,ZERO_DEV_FACILITIES_ONLY
01229,012,yes,pass,yes,2,15,68,2,13,0,7,yes,A,SITE_WIDE_DELIVERY_ONLY
01230,012,yes,pass,yes,27,15,105,15,0,12,3,yes,A,SITE_WIDE_DELIVERY_ONLY
01235,012,yes,pass,yes,7,6,8,6,0,1,5,yes,A,SITE_WIDE_DELIVERY_ONLY
01236,012,yes,pass,yes,2,12,28,2,10,0,5,yes,A,SITE_WIDE_DELIVERY_ONLY
01237,012,yes,pass,yes,10,13,35,9,4,1,15,yes,A,SITE_WIDE_DELIVERY_ONLY
01238,012,yes,pass,yes,29,32,126,29,3,0,29,yes,A,SITE_WIDE_DELIVERY_ONLY
01240,012,yes,pass,yes,14,16,51,13,3,1,28,yes,A,SITE_WIDE_DELIVERY_ONLY
01242,012,yes,pass,yes,1,34,150,1,33,0,26,yes,A,SITE_WIDE_DELIVERY_ONLY
01243,012,yes,pass,yes,1,1,1,1,0,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01244,012,yes,pass,yes,1,5,7,1,4,0,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01245,012,yes,pass,yes,4,5,8,4,1,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01247,012,yes,pass,yes,23,20,113,19,1,4,11,yes,A,SITE_WIDE_DELIVERY_ONLY
01252,012,yes,pass,yes,0,6,15,0,6,0,1,no,D,NO_SUBSTANTIVE_MAPS_CONTENT
01253,012,yes,pass,yes,7,8,17,7,1,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01254,012,yes,pass,yes,2,9,45,2,7,0,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01255,012,yes,pass,yes,8,4,4,4,0,4,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01256,012,yes,pass,yes,7,3,4,3,0,4,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01257,012,yes,pass,yes,12,10,15,9,1,3,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01258,012,yes,pass,yes,5,3,3,1,2,4,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01259,012,yes,pass,yes,7,7,10,4,3,3,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01260,012,yes,pass,yes,1,32,126,1,31,0,18,yes,A,SITE_WIDE_DELIVERY_ONLY
01262,012,yes,pass,yes,9,20,132,9,11,0,4,yes,A,SITE_WIDE_DELIVERY_ONLY
01263,012,yes,pass,yes,0,16,32,0,16,0,24,yes,C,ZERO_DEV_FACILITIES_ONLY
01264,012,yes,pass,yes,2,6,9,2,4,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01266,012,yes,pass,yes,9,10,91,7,3,2,4,yes,A,SITE_WIDE_DELIVERY_ONLY
01267,012,yes,pass,yes,15,16,31,14,2,1,7,yes,A,SITE_WIDE_DELIVERY_ONLY
01270,012,yes,pass,yes,4,5,32,4,1,0,3,yes,A,SITE_WIDE_DELIVERY_ONLY
01301,013,no,NO_PAGE,no,4,0,0,0,0,4,0,no,E,NO_PRODUCTION_PAGE
01330,013,no,NO_PAGE,no,3,0,0,0,0,3,0,no,E,NO_PRODUCTION_PAGE
01331,013,yes,pass,yes,15,19,80,14,5,1,17,yes,A,SITE_WIDE_DELIVERY_ONLY
01337,013,no,NO_PAGE,no,3,0,0,0,0,3,0,no,E,NO_PRODUCTION_PAGE
01338,013,no,NO_PAGE,no,1,0,0,0,0,1,0,no,E,NO_PRODUCTION_PAGE
01339,013,no,NO_PAGE,no,4,0,0,0,0,4,0,no,E,NO_PRODUCTION_PAGE
01340,013,no,NO_PAGE,no,2,0,0,0,0,2,0,no,E,NO_PRODUCTION_PAGE
01342,013,no,NO_PAGE,no,5,0,0,0,0,5,0,no,E,NO_PRODUCTION_PAGE
01343,013,yes,pass,yes,5,7,14,5,2,0,0,yes,A,SITE_WIDE_DELIVERY_ONLY
01364,013,no,NO_PAGE,no,9,0,0,0,0,9,0,no,E,NO_PRODUCTION_PAGE
01366,013,yes,pass,yes,2,2,5,2,0,0,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01367,013,no,NO_PAGE,no,1,0,0,0,0,1,0,no,E,NO_PRODUCTION_PAGE
01368,013,yes,pass,yes,5,9,11,5,4,0,3,yes,A,SITE_WIDE_DELIVERY_ONLY
01370,013,no,NO_PAGE,no,2,0,0,0,0,2,0,no,E,NO_PRODUCTION_PAGE
01373,013,no,NO_PAGE,no,11,0,0,0,0,11,0,no,E,NO_PRODUCTION_PAGE
01420,014,yes,pass,yes,19,28,58,18,10,1,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01430,014,yes,pass,yes,2,3,18,2,1,0,8,yes,A,SITE_WIDE_DELIVERY_ONLY
01431,014,yes,pass,yes,3,4,7,3,1,0,4,yes,A,SITE_WIDE_DELIVERY_ONLY
01432,014,yes,pass,yes,3,9,58,3,6,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01434,014,yes,pass,yes,2,9,58,2,7,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01436,014,yes,pass,yes,4,14,56,4,10,0,24,yes,A,SITE_WIDE_DELIVERY_ONLY
01438,014,yes,pass,yes,5,20,83,5,15,0,28,yes,A,SITE_WIDE_DELIVERY_ONLY
01440,014,yes,pass,yes,15,22,89,15,7,0,34,yes,A,SITE_WIDE_DELIVERY_ONLY
01441,014,yes,pass,yes,0,12,26,0,12,0,1,no,D,NO_SUBSTANTIVE_MAPS_CONTENT
01450,014,yes,pass,yes,1,2,4,1,1,0,11,yes,A,SITE_WIDE_DELIVERY_ONLY
01451,014,yes,pass,yes,6,11,38,6,5,0,13,yes,A,SITE_WIDE_DELIVERY_ONLY
01452,014,yes,pass,yes,6,6,10,6,0,0,5,yes,A,SITE_WIDE_DELIVERY_ONLY
01453,014,yes,pass,yes,23,28,89,23,5,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01460,014,yes,pass,yes,14,18,64,14,4,0,33,yes,A,SITE_WIDE_DELIVERY_ONLY
01462,014,yes,pass,yes,5,14,26,5,9,0,30,yes,A,SITE_WIDE_DELIVERY_ONLY
01463,014,yes,pass,yes,1,1,2,1,0,0,9,yes,A,SITE_WIDE_DELIVERY_ONLY
01464,014,yes,pass,yes,2,3,19,2,1,0,25,yes,A,SITE_WIDE_DELIVERY_ONLY
01467,014,yes,pass,yes,0,10,32,0,10,0,3,yes,C,ZERO_DEV_FACILITIES_ONLY
01468,014,yes,pass,yes,8,9,50,7,2,1,5,yes,A,SITE_WIDE_DELIVERY_ONLY
01469,014,yes,pass,yes,1,2,4,1,1,0,5,yes,A,SITE_WIDE_DELIVERY_ONLY
01470,014,yes,pass,yes,0,2,4,0,2,0,13,yes,C,ZERO_DEV_FACILITIES_ONLY
01471,014,yes,pass,yes,0,2,4,0,2,0,13,yes,C,ZERO_DEV_FACILITIES_ONLY
01472,014,yes,pass,yes,0,3,6,0,3,0,12,yes,C,ZERO_DEV_FACILITIES_ONLY
01473,014,yes,pass,yes,13,12,26,12,0,1,22,yes,A,SITE_WIDE_DELIVERY_ONLY
01474,014,yes,pass,yes,1,6,10,1,5,0,6,yes,A,SITE_WIDE_DELIVERY_ONLY
01475,014,yes,pass,yes,10,10,18,10,0,0,3,yes,A,SITE_WIDE_DELIVERY_ONLY
01501,015,yes,pass,yes,29,54,191,28,26,1,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01503,015,yes,pass,yes,4,18,74,4,14,0,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01504,015,yes,pass,yes,4,7,10,4,3,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01505,015,yes,pass,yes,6,15,33,6,9,0,27,yes,A,SITE_WIDE_DELIVERY_ONLY
01506,015,yes,pass,yes,8,13,21,8,5,0,14,yes,A,SITE_WIDE_DELIVERY_ONLY
01507,015,yes,pass,yes,24,18,54,17,1,7,32,yes,A,SITE_WIDE_DELIVERY_ONLY
01508,015,yes,pass,yes,0,22,60,0,22,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01509,015,yes,pass,yes,0,21,58,0,21,0,28,yes,C,ZERO_DEV_FACILITIES_ONLY
01510,015,yes,pass,yes,3,8,28,3,5,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01515,015,yes,pass,yes,5,12,46,5,7,0,35,yes,A,SITE_WIDE_DELIVERY_ONLY
01516,015,yes,pass,yes,34,7,25,6,1,28,10,yes,A,SITE_WIDE_DELIVERY_ONLY
01518,015,yes,pass,yes,18,29,83,18,11,0,9,yes,A,SITE_WIDE_DELIVERY_ONLY
01519,015,yes,pass,yes,9,24,76,9,15,0,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01520,015,yes,pass,yes,10,17,90,10,7,0,14,yes,A,SITE_WIDE_DELIVERY_ONLY
01521,015,yes,pass,yes,12,6,10,3,3,9,3,yes,A,SITE_WIDE_DELIVERY_ONLY
01522,015,yes,pass,yes,2,10,50,2,8,0,34,yes,A,SITE_WIDE_DELIVERY_ONLY
01523,015,yes,pass,yes,13,12,31,5,7,8,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01524,015,yes,pass,yes,2,4,26,2,2,0,26,yes,A,SITE_WIDE_DELIVERY_ONLY
01525,015,yes,pass,yes,0,12,73,0,12,0,35,yes,C,ZERO_DEV_FACILITIES_ONLY
01526,015,yes,pass,yes,0,8,49,0,8,0,17,yes,C,ZERO_DEV_FACILITIES_ONLY
01527,015,yes,pass,yes,21,43,147,21,22,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01529,015,yes,pass,yes,5,14,28,5,9,0,36,yes,A,SITE_WIDE_DELIVERY_ONLY
01531,015,yes,pass,yes,4,3,4,3,0,1,9,yes,A,SITE_WIDE_DELIVERY_ONLY
01532,015,yes,pass,yes,13,21,97,13,8,0,3,yes,A,SITE_WIDE_DELIVERY_ONLY
01534,015,yes,pass,yes,3,13,39,3,10,0,25,yes,A,SITE_WIDE_DELIVERY_ONLY
01535,015,yes,pass,yes,0,6,12,0,6,0,20,yes,C,ZERO_DEV_FACILITIES_ONLY
01536,015,yes,pass,yes,10,24,73,9,15,1,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01537,015,yes,pass,yes,15,32,127,15,17,0,28,yes,A,SITE_WIDE_DELIVERY_ONLY
01538,015,yes,pass,yes,0,14,69,0,14,0,27,yes,C,ZERO_DEV_FACILITIES_ONLY
01540,015,yes,pass,yes,7,8,49,7,1,0,31,yes,A,SITE_WIDE_DELIVERY_ONLY
01541,015,yes,pass,yes,4,3,4,3,0,1,2,yes,A,SITE_WIDE_DELIVERY_ONLY
01542,015,yes,pass,yes,1,23,78,1,22,0,36,yes,A,SITE_WIDE_DELIVERY_ONLY
01543,015,yes,pass,yes,5,6,15,4,2,1,33,yes,A,SITE_WIDE_DELIVERY_ONLY
01545,015,yes,pass,yes,16,27,74,16,11,0,8,yes,A,SITE_WIDE_DELIVERY_ONLY
01546,015,yes,pass,yes,0,7,9,0,7,0,33,yes,C,ZERO_DEV_FACILITIES_ONLY
01550,015,yes,pass,yes,37,15,33,8,7,29,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01560,015,yes,pass,yes,1,16,60,1,15,0,32,yes,A,SITE_WIDE_DELIVERY_ONLY
01561,015,yes,pass,yes,0,11,31,0,11,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01562,015,yes,pass,yes,7,9,42,7,2,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01564,015,yes,pass,yes,11,13,35,11,2,0,21,yes,A,SITE_WIDE_DELIVERY_ONLY
01566,015,yes,pass,yes,31,36,103,22,14,9,15,yes,A,SITE_WIDE_DELIVERY_ONLY
01568,015,yes,pass,yes,11,12,23,5,7,6,16,yes,A,SITE_WIDE_DELIVERY_ONLY
01569,015,yes,pass,yes,15,16,58,15,1,0,20,yes,A,SITE_WIDE_DELIVERY_ONLY
01570,015,yes,pass,yes,34,9,59,6,3,28,38,yes,A,SITE_WIDE_DELIVERY_ONLY
01571,015,yes,pass,yes,31,10,59,3,7,28,37,yes,A,SITE_WIDE_DELIVERY_ONLY
01581,015,yes,pass,yes,21,27,137,20,7,1,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01583,015,yes,pass,yes,10,20,89,10,10,0,27,yes,A,SITE_WIDE_DELIVERY_ONLY
01585,015,yes,pass,yes,14,18,37,12,6,2,13,yes,A,SITE_WIDE_DELIVERY_ONLY
01586,015,yes,pass,yes,0,39,140,0,39,0,37,yes,C,ZERO_DEV_FACILITIES_ONLY
01588,015,yes,pass,yes,5,15,76,5,10,0,22,yes,A,SITE_WIDE_DELIVERY_ONLY
01590,015,yes,pass,yes,10,6,61,6,0,4,9,yes,A,SITE_WIDE_DELIVERY_ONLY
01601,016,yes,pass,yes,0,69,404,0,69,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01602,016,yes,pass,yes,5,1327,1644,5,1322,0,14,yes,A,SITE_WIDE_DELIVERY_ONLY
01603,016,yes,pass,yes,5,923,1249,5,918,0,10,yes,A,SITE_WIDE_DELIVERY_ONLY
01604,016,yes,pass,yes,23,1695,1999,23,1672,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01605,016,yes,pass,yes,21,1065,1390,21,1044,0,25,yes,A,SITE_WIDE_DELIVERY_ONLY
01606,016,yes,pass,yes,7,1319,1547,7,1312,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01607,016,yes,pass,yes,14,358,673,14,344,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01608,016,yes,pass,yes,10,187,522,10,177,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01609,016,yes,pass,yes,7,738,1080,7,731,0,14,yes,A,SITE_WIDE_DELIVERY_ONLY
01610,016,yes,pass,yes,20,591,910,20,571,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01611,016,yes,pass,yes,0,29,144,0,29,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01612,016,yes,pass,yes,1,3,33,1,2,0,6,yes,A,SITE_WIDE_DELIVERY_ONLY
01613,016,yes,pass,yes,0,55,391,0,55,0,23,yes,C,ZERO_DEV_FACILITIES_ONLY
01614,016,yes,pass,yes,0,69,404,0,69,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01615,016,yes,pass,yes,0,69,404,0,69,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01653,016,yes,pass,yes,0,7,9,0,7,0,33,yes,C,ZERO_DEV_FACILITIES_ONLY
01655,016,yes,pass,yes,0,7,9,0,7,0,33,yes,C,ZERO_DEV_FACILITIES_ONLY
01701,017,yes,pass,yes,19,37,250,18,19,1,35,yes,A,SITE_WIDE_DELIVERY_ONLY
01702,017,yes,pass,yes,26,36,246,24,12,2,36,yes,A,SITE_WIDE_DELIVERY_ONLY
01703,017,yes,pass,yes,0,15,41,0,15,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01704,017,yes,pass,yes,0,15,41,0,15,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01705,017,yes,pass,yes,0,15,41,0,15,0,40,yes,C,ZERO_DEV_FACILITIES_ONLY
01718,017,yes,pass,yes,1,13,99,1,12,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01719,017,yes,pass,yes,6,13,48,6,7,0,11,yes,A,SITE_WIDE_DELIVERY_ONLY
01720,017,yes,pass,yes,8,20,113,8,12,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01721,017,yes,pass,yes,11,34,94,11,23,0,24,yes,A,SITE_WIDE_DELIVERY_ONLY
01730,017,yes,pass,yes,12,28,104,12,16,0,23,yes,A,SITE_WIDE_DELIVERY_ONLY
01731,017,yes,pass,yes,0,29,104,0,29,0,20,yes,C,ZERO_DEV_FACILITIES_ONLY
01740,017,yes,pass,yes,5,8,25,5,3,0,1,yes,A,SITE_WIDE_DELIVERY_ONLY
01741,017,yes,pass,yes,1,6,10,1,5,0,9,yes,A,SITE_WIDE_DELIVERY_ONLY
01742,017,yes,pass,yes,10,15,83,10,5,0,21,yes,A,SITE_WIDE_DELIVERY_ONLY
01745,017,yes,pass,yes,3,33,114,3,30,0,21,yes,A,SITE_WIDE_DELIVERY_ONLY
01746,017,yes,pass,yes,6,11,31,6,5,0,15,yes,A,SITE_WIDE_DELIVERY_ONLY
01747,017,yes,pass,yes,2,15,51,2,13,0,40,yes,A,SITE_WIDE_DELIVERY_ONLY
01748,017,yes,pass,yes,21,17,25,16,1,5,12,yes,A,SITE_WIDE_DELIVERY_ONLY
